topic_id,question_id,question,retrieved_list,top_k,Chunking_Type,split_length,split_overlap
W01,W01Q01,What sets apart CS programs from SE programs?,"[' [SD2]It is easy between some programs, and not as easy between some programs. For example, within first and second year, it is easy to transfer between SE and CS programs. Also, if you go from SE or CS to IT , it is easy to transfer. However, transfer from IT to CS, will require certain requirements and assessed on merit. If you are unsure, refer to the Program Manager of the TARGET PROGRAM.']",1,sentence,5,0
W01,W01Q02,How do CS and SE programs differ from each other?,"[' In each case, they are assigned a project supervisor who work closely with you and industry partner to get student experience. In addition to these mandatory WIL requirements, every year we have summer projects and other industry events, such as ANZ hackathon, AIIA iAwards competition, and other coding/ security competitions. Q: Whats the difference between Bachelor degrees and associate degrees? A: Associate degrees are normally pathway degrees to a specific bachelor degree. E.g .']",1,sentence,5,0
W01,W01Q03,Can you explain the variances between CS and SE programs?,"[' [SD2]It is easy between some programs, and not as easy between some programs. For example, within first and second year, it is easy to transfer between SE and CS programs. Also, if you go from SE or CS to IT , it is easy to transfer. However, transfer from IT to CS, will require certain requirements and assessed on merit. If you are unsure, refer to the Program Manager of the TARGET PROGRAM.']",1,sentence,5,0
W01,W01Q04,what's the difference between CS and SE programs?,"[' Q: What is the difference between Bachelor of Software Engineering (Professional) and Bachelor of Engineering (Software Engineering) (Honours) degree? A: A good question. As described above, B. Software Engineering (Professional) degree trains students to become professional softw are engineers and builds a skill set covering every stage of the SE life cycle, beginning from requirement elicitation to testing and maintenance. In B. Software Engineering, we train students to design, build and maintain reliable software solutions.']",1,sentence,5,0
W02,W02Q01,Can you describe the range of electives that are on offer?,"[' In addition, In general, each program has a suite of electives you can choose from. However, if you are interested in taking an elective outside the program structure, you can seek approval from the program manager.\x0cRMIT Classification: Trusted In the IT program, you can choose your electives to form a specialisation in one of the IT sub -disciplines (programming, security, DEVOPS, etc) or you can choose them broadly.']",1,sentence,5,0
W02,W02Q02,What options do I have for selecting elective courses?,[' We have a pathway study plan for such students. Roughly speaking you can get credit for around 75% of the courses you do in first year IT. [SD1] This is a ba ll-park percentage. Each students situation can be different. Q: Can I transfer between programs easily? A: There is no direct answer.'],1,sentence,5,0
W02,W02Q03,Can you provide details on the available choices of electives?,"['\x0cRMIT Classification: Trusted Q: What choice of majors and minors available? there are a number of discipline -specific and cross -disciplinary majors and minors available and some of them have a strong business focus. BIT students have the widest choice of majors and minors. All of the majors and minors are focussed on future careers. If you are interested to know more about the majors and minors, we strongly encourage to attend one o f our info sessions. A summary of majors and minors are here: Majors Name Computer Science Software Engineering Data Science Information Technology Cyber Security Cybersecurity Minor only No majors in this program Digital Innovation Enterprise Systems Development Minor only Advanced Computer Science Advanced Data Science Minor only Minor only Minors : Name Computer Science Software Engineering Data Science Information Technology Cyber Security Blockchain Technologies Cyber Assurance Creative Computing Enterprise Systems Development Data Science AI and Machine Learning Cloud Computing Bioinformatics Data Analysis Network Infrastructure CISCO Networking Innovation and Enterprise Entrepreneurship Business Analytics Blockchain Enabled Business Business Information Systems Q: What choice of electives available? A: Depending on the program, a wide choice of electives -- in programming, mobile, and web, networking, cybersecurity, software engineering, is available.']",1,sentence,5,0
W02,W02Q04,What choice of electives available?,"['\x0cRMIT Classification: Trusted Q: What choice of majors and minors available? there are a number of discipline -specific and cross -disciplinary majors and minors available and some of them have a strong business focus. BIT students have the widest choice of majors and minors. All of the majors and minors are focussed on future careers. If you are interested to know more about the majors and minors, we strongly encourage to attend one o f our info sessions. A summary of majors and minors are here: Majors Name Computer Science Software Engineering Data Science Information Technology Cyber Security Cybersecurity Minor only No majors in this program Digital Innovation Enterprise Systems Development Minor only Advanced Computer Science Advanced Data Science Minor only Minor only Minors : Name Computer Science Software Engineering Data Science Information Technology Cyber Security Blockchain Technologies Cyber Assurance Creative Computing Enterprise Systems Development Data Science AI and Machine Learning Cloud Computing Bioinformatics Data Analysis Network Infrastructure CISCO Networking Innovation and Enterprise Entrepreneurship Business Analytics Blockchain Enabled Business Business Information Systems Q: What choice of electives available? A: Depending on the program, a wide choice of electives -- in programming, mobile, and web, networking, cybersecurity, software engineering, is available.']",1,sentence,5,0
W03,W03Q01,Is it possible to undertake a double degree with Business?,"[' CS with Computer and Netwo rk Engineering. They are 5 -year degrees with 25 CS and 35 engineering. Q: Can I do a double degree with Business? A: Unfortunately we do not have such a formal double degree. However, there are a number of cross -disciplinary majors and minors available and some of them have a strong business focus. BIT students have the widest choice of majors and minors.']",1,sentence,5,0
W03,W03Q02,Can I enroll in a double degree program that includes Business?,"[' CS with Computer and Netwo rk Engineering. They are 5 -year degrees with 25 CS and 35 engineering. Q: Can I do a double degree with Business? A: Unfortunately we do not have such a formal double degree. However, there are a number of cross -disciplinary majors and minors available and some of them have a strong business focus. BIT students have the widest choice of majors and minors.']",1,sentence,5,0
W03,W03Q03,Are there any opportunities for a double degree program involving Business?,"[' CS with Computer and Netwo rk Engineering. They are 5 -year degrees with 25 CS and 35 engineering. Q: Can I do a double degree with Business? A: Unfortunately we do not have such a formal double degree. However, there are a number of cross -disciplinary majors and minors available and some of them have a strong business focus. BIT students have the widest choice of majors and minors.']",1,sentence,5,0
W03,W03Q04,Can I do a double degree with Business?,"[' CS with Computer and Netwo rk Engineering. They are 5 -year degrees with 25 CS and 35 engineering. Q: Can I do a double degree with Business? A: Unfortunately we do not have such a formal double degree. However, there are a number of cross -disciplinary majors and minors available and some of them have a strong business focus. BIT students have the widest choice of majors and minors.']",1,sentence,5,0
W04,W04Q01,Are there opportunities to pursue double degrees in CS?,"[' RMITs SE degree is very much software developm ent focussed degree, and it does not teach principles of engineering design. Also, there is no advanced math courses, such as Calculus, engineering maths, and statistics in our SE degree. However, they still be required to one discrete maths subject. Howev er, it meets the international standards in SE industry ACM and IEEE guidelines on SE curriculum, and also accredited by Australian Computer Society. Q: What there double degrees available in CS? A: WE have one double degree: 1.']",1,sentence,5,0
W04,W04Q02,Can students opt for double degrees in the CS field?,"[' CS with Computer and Netwo rk Engineering. They are 5 -year degrees with 25 CS and 35 engineering. Q: Can I do a double degree with Business? A: Unfortunately we do not have such a formal double degree. However, there are a number of cross -disciplinary majors and minors available and some of them have a strong business focus. BIT students have the widest choice of majors and minors.']",1,sentence,5,0
W04,W04Q03,Are there any options for combining CS with another discipline for a double degree?,"[' CS with Computer and Netwo rk Engineering. They are 5 -year degrees with 25 CS and 35 engineering. Q: Can I do a double degree with Business? A: Unfortunately we do not have such a formal double degree. However, there are a number of cross -disciplinary majors and minors available and some of them have a strong business focus. BIT students have the widest choice of majors and minors.']",1,sentence,5,0
W04,W04Q04,What there double degrees available in CS?,"[' RMITs SE degree is very much software developm ent focussed degree, and it does not teach principles of engineering design. Also, there is no advanced math courses, such as Calculus, engineering maths, and statistics in our SE degree. However, they still be required to one discrete maths subject. Howev er, it meets the international standards in SE industry ACM and IEEE guidelines on SE curriculum, and also accredited by Australian Computer Society. Q: What there double degrees available in CS? A: WE have one double degree: 1.']",1,sentence,5,0
W05,W05Q01,Does Engineers Australia accredit RMIT's Software Engineering degree?,"['gov.au/occupation -\nprofile/programmers?occupationCode=2613 ). There are other job categories (such as systems analyst, data scientist, business analyst roles that are popular among our graduates, and they also have similar growth predictions.) Q: Can you get a job in games industry here? A: Yes, careers outlook for games industry, in more broader sense, the digital media is very positive. Q: Is RMITs Software Engineering degree accredited by Engineers Australia? A: No.']",1,sentence,5,0
W05,W05Q02,Can RMIT's Software Engineering degree be considered accredited by Engineers Australia?,"['gov.au/occupation -\nprofile/programmers?occupationCode=2613 ). There are other job categories (such as systems analyst, data scientist, business analyst roles that are popular among our graduates, and they also have similar growth predictions.) Q: Can you get a job in games industry here? A: Yes, careers outlook for games industry, in more broader sense, the digital media is very positive. Q: Is RMITs Software Engineering degree accredited by Engineers Australia? A: No.']",1,sentence,5,0
W05,W05Q03,Is the Software Engineering degree at RMIT recognized and accredited by Engineers Australia?,"['gov.au/occupation -\nprofile/programmers?occupationCode=2613 ). There are other job categories (such as systems analyst, data scientist, business analyst roles that are popular among our graduates, and they also have similar growth predictions.) Q: Can you get a job in games industry here? A: Yes, careers outlook for games industry, in more broader sense, the digital media is very positive. Q: Is RMITs Software Engineering degree accredited by Engineers Australia? A: No.']",1,sentence,5,0
W05,W05Q04,Is RMIT’s Software Engineering degree accredited by Engineers Australia?,"['gov.au/occupation -\nprofile/programmers?occupationCode=2613 ). There are other job categories (such as systems analyst, data scientist, business analyst roles that are popular among our graduates, and they also have similar growth predictions.) Q: Can you get a job in games industry here? A: Yes, careers outlook for games industry, in more broader sense, the digital media is very positive. Q: Is RMITs Software Engineering degree accredited by Engineers Australia? A: No.']",1,sentence,5,0
W06,W06Q01,Are these programs recognized by the Australian Computer Society?,"[' It is called Bachelor of Computer Science (Honours). This is not available for Year 12 entry st udents. School of Engineering offers Bachelor of Engineering degrees in a number of engineering disciplines. Q: Are these programs accredited by Australian Computer Society? A: Yes, except the Data Science degree, all other programs are currently accredi ted by ACS at professional level. An application has already been lodged to seek accreditation for Data Science program.']",1,sentence,5,0
W06,W06Q02,Can I expect these programs to be accredited by the Australian Computer Society?,"[' It is called Bachelor of Computer Science (Honours). This is not available for Year 12 entry st udents. School of Engineering offers Bachelor of Engineering degrees in a number of engineering disciplines. Q: Are these programs accredited by Australian Computer Society? A: Yes, except the Data Science degree, all other programs are currently accredi ted by ACS at professional level. An application has already been lodged to seek accreditation for Data Science program.']",1,sentence,5,0
W06,W06Q03,Are the programs endorsed by the Australian Computer Society?,"[' It is called Bachelor of Computer Science (Honours). This is not available for Year 12 entry st udents. School of Engineering offers Bachelor of Engineering degrees in a number of engineering disciplines. Q: Are these programs accredited by Australian Computer Society? A: Yes, except the Data Science degree, all other programs are currently accredi ted by ACS at professional level. An application has already been lodged to seek accreditation for Data Science program.']",1,sentence,5,0
W06,W06Q04,Are these programs accredited by Australian Computer Society?,"[' It is called Bachelor of Computer Science (Honours). This is not available for Year 12 entry st udents. School of Engineering offers Bachelor of Engineering degrees in a number of engineering disciplines. Q: Are these programs accredited by Australian Computer Society? A: Yes, except the Data Science degree, all other programs are currently accredi ted by ACS at professional level. An application has already been lodged to seek accreditation for Data Science program.']",1,sentence,5,0
W07,W07Q01,Does the school offer work placements?,"[' Eng ( Software Engineering) is not accredited in Melbourne (its Vietnam version was accredited). One key feature differentiating two program is that B Software Eng program has one -year internship while other does not. The former one has 100% employability (4 years within last 5 years, except during Covid, every other year students found 100% employabi lity). Q: Will the school provide work placements? A: Well, not directly. We do have a lot of industry contacts, as well as a full -time industry coordinator who will assist students to establish industry links.']",1,sentence,5,0
W07,W07Q02,Will there be opportunities for work placements provided by the school?,"[' Eng ( Software Engineering) is not accredited in Melbourne (its Vietnam version was accredited). One key feature differentiating two program is that B Software Eng program has one -year internship while other does not. The former one has 100% employability (4 years within last 5 years, except during Covid, every other year students found 100% employabi lity). Q: Will the school provide work placements? A: Well, not directly. We do have a lot of industry contacts, as well as a full -time industry coordinator who will assist students to establish industry links.']",1,sentence,5,0
W07,W07Q03,Can I expect the school to facilitate work placements?,"[' Eng ( Software Engineering) is not accredited in Melbourne (its Vietnam version was accredited). One key feature differentiating two program is that B Software Eng program has one -year internship while other does not. The former one has 100% employability (4 years within last 5 years, except during Covid, every other year students found 100% employabi lity). Q: Will the school provide work placements? A: Well, not directly. We do have a lot of industry contacts, as well as a full -time industry coordinator who will assist students to establish industry links.']",1,sentence,5,0
W07,W07Q04,Will the school provide work placements?,"[' Eng ( Software Engineering) is not accredited in Melbourne (its Vietnam version was accredited). One key feature differentiating two program is that B Software Eng program has one -year internship while other does not. The former one has 100% employability (4 years within last 5 years, except during Covid, every other year students found 100% employabi lity). Q: Will the school provide work placements? A: Well, not directly. We do have a lot of industry contacts, as well as a full -time industry coordinator who will assist students to establish industry links.']",1,sentence,5,0
W08,W08Q01,Are the internships paid positions?,"[' The full -year internship (40 weeks) is similar to what Software Engineering students do in their third year. However, you may be able to choose a wider range of companies that suits your preferred career path (cyber security, data science, machine learning, etc). Professional Year option is available in Computer Science, Information technology and Data Science programs. Q: Are the internships paid? A: Yes, under government regulations, all internships are within Australia are paid internships. However, if you choose an overseas internship, t hey may come under the host countrys regulations.']",1,sentence,5,0
W08,W08Q02,Can I expect to receive payment for the internships?,"[' The full -year internship (40 weeks) is similar to what Software Engineering students do in their third year. However, you may be able to choose a wider range of companies that suits your preferred career path (cyber security, data science, machine learning, etc). Professional Year option is available in Computer Science, Information technology and Data Science programs. Q: Are the internships paid? A: Yes, under government regulations, all internships are within Australia are paid internships. However, if you choose an overseas internship, t hey may come under the host countrys regulations.']",1,sentence,5,0
W08,W08Q03,Are the internships remunerated?,"[' The full -year internship (40 weeks) is similar to what Software Engineering students do in their third year. However, you may be able to choose a wider range of companies that suits your preferred career path (cyber security, data science, machine learning, etc). Professional Year option is available in Computer Science, Information technology and Data Science programs. Q: Are the internships paid? A: Yes, under government regulations, all internships are within Australia are paid internships. However, if you choose an overseas internship, t hey may come under the host countrys regulations.']",1,sentence,5,0
W08,W08Q04,Are the internships paid?,"[' The full -year internship (40 weeks) is similar to what Software Engineering students do in their third year. However, you may be able to choose a wider range of companies that suits your preferred career path (cyber security, data science, machine learning, etc). Professional Year option is available in Computer Science, Information technology and Data Science programs. Q: Are the internships paid? A: Yes, under government regulations, all internships are within Australia are paid internships. However, if you choose an overseas internship, t hey may come under the host countrys regulations.']",1,sentence,5,0
W09,W09Q01,"Are RMIT degrees categorized as Bachelor of Science (BSc) degrees or Bachelor of Engineering (BEng) degrees, or some other designation?","[' Q: If I choose to do a major in Cyber Security with Bachelor of Information Technology degree, for example, will it appear in my award title? A: No. Major name does not appear o n award title. However, we do plan to offer a Bachelor of Cyber Security degree, a stand -along specialised Cyber program in the near future. Q: Are RMIT degrees Bachelor of Science (BSc) degrees or Bachelor of Engineering (BEng) degrees, or what? A: RMI T degrees are quite specific in the discipline area, for example, our degrees are titled Bachelor of Computer Science, Bachelor of Software Engineering, Bachelor of Information Technology , and Bachelor of Data Science . In addition to the above, we offer an honours degree option: a one -year Honours degree which is only be started after completing a regular three year CS degree.']",1,sentence,5,0
W09,W09Q02,"Can you clarify whether RMIT degrees are classified as Bachelor of Science (BSc) degrees or Bachelor of Engineering (BEng) degrees, or another category?","[' Q: If I choose to do a major in Cyber Security with Bachelor of Information Technology degree, for example, will it appear in my award title? A: No. Major name does not appear o n award title. However, we do plan to offer a Bachelor of Cyber Security degree, a stand -along specialised Cyber program in the near future. Q: Are RMIT degrees Bachelor of Science (BSc) degrees or Bachelor of Engineering (BEng) degrees, or what? A: RMI T degrees are quite specific in the discipline area, for example, our degrees are titled Bachelor of Computer Science, Bachelor of Software Engineering, Bachelor of Information Technology , and Bachelor of Data Science . In addition to the above, we offer an honours degree option: a one -year Honours degree which is only be started after completing a regular three year CS degree.']",1,sentence,5,0
W09,W09Q03,"How are RMIT degrees labeled? Are they referred to as Bachelor of Science (BSc) degrees or Bachelor of Engineering (BEng) degrees, or something else?","[' Q: If I choose to do a major in Cyber Security with Bachelor of Information Technology degree, for example, will it appear in my award title? A: No. Major name does not appear o n award title. However, we do plan to offer a Bachelor of Cyber Security degree, a stand -along specialised Cyber program in the near future. Q: Are RMIT degrees Bachelor of Science (BSc) degrees or Bachelor of Engineering (BEng) degrees, or what? A: RMI T degrees are quite specific in the discipline area, for example, our degrees are titled Bachelor of Computer Science, Bachelor of Software Engineering, Bachelor of Information Technology , and Bachelor of Data Science . In addition to the above, we offer an honours degree option: a one -year Honours degree which is only be started after completing a regular three year CS degree.']",1,sentence,5,0
W09,W09Q04,"Are RMIT degrees Bachelor of Science (BSc) degrees or Bachelor of Engineering (BEng) degrees, or what?","[' Q: If I choose to do a major in Cyber Security with Bachelor of Information Technology degree, for example, will it appear in my award title? A: No. Major name does not appear o n award title. However, we do plan to offer a Bachelor of Cyber Security degree, a stand -along specialised Cyber program in the near future. Q: Are RMIT degrees Bachelor of Science (BSc) degrees or Bachelor of Engineering (BEng) degrees, or what? A: RMI T degrees are quite specific in the discipline area, for example, our degrees are titled Bachelor of Computer Science, Bachelor of Software Engineering, Bachelor of Information Technology , and Bachelor of Data Science . In addition to the above, we offer an honours degree option: a one -year Honours degree which is only be started after completing a regular three year CS degree.']",1,sentence,5,0
W10,W10Q01,Is it possible to gain admission to the CS program even if I didn't study Math Methods in Year 12?,"[' Q: I didnt do Math Methods in Year 12. Can I get into CS program somehow? A: YES! In the past, we only admitted students with Maths M ethods or Specialist mathematics. Now, we admit students with one of the VCE Maths courses (as long as you have minimum of 20 marks in Units 3 and 4.)\x0cRMIT Classification: Trusted VCE Maths Choice University Maths Specialist Maths Math Methods (CAS) General Maths No Maths BP094 CS X BP096 SE X BP340 Data Sc X BP162 IT X BP355 Cyber X Q: If I were to be transferred from IT to CS, will I get full credit for my first year in IT? A: No. you wont get full credit, you will get credit for the common courses between these two programs.']",1,sentence,5,0
W10,W10Q02,Can I pursue the CS program without having studied Math Methods in Year 12?,"[' Q: I didnt do Math Methods in Year 12. Can I get into CS program somehow? A: YES! In the past, we only admitted students with Maths M ethods or Specialist mathematics. Now, we admit students with one of the VCE Maths courses (as long as you have minimum of 20 marks in Units 3 and 4.)\x0cRMIT Classification: Trusted VCE Maths Choice University Maths Specialist Maths Math Methods (CAS) General Maths No Maths BP094 CS X BP096 SE X BP340 Data Sc X BP162 IT X BP355 Cyber X Q: If I were to be transferred from IT to CS, will I get full credit for my first year in IT? A: No. you wont get full credit, you will get credit for the common courses between these two programs.']",1,sentence,5,0
W10,W10Q03,Are there any alternative pathways to enter the CS program if I haven't taken Math Methods in Year 12,"[' Q: I didnt do Math Methods in Year 12. Can I get into CS program somehow? A: YES! In the past, we only admitted students with Maths M ethods or Specialist mathematics. Now, we admit students with one of the VCE Maths courses (as long as you have minimum of 20 marks in Units 3 and 4.)\x0cRMIT Classification: Trusted VCE Maths Choice University Maths Specialist Maths Math Methods (CAS) General Maths No Maths BP094 CS X BP096 SE X BP340 Data Sc X BP162 IT X BP355 Cyber X Q: If I were to be transferred from IT to CS, will I get full credit for my first year in IT? A: No. you wont get full credit, you will get credit for the common courses between these two programs.']",1,sentence,5,0
W10,W10Q04,I didn’t do Math Methods in Year 12. Can I get into CS program somehow?,"[' Q: I didnt do Math Methods in Year 12. Can I get into CS program somehow? A: YES! In the past, we only admitted students with Maths M ethods or Specialist mathematics. Now, we admit students with one of the VCE Maths courses (as long as you have minimum of 20 marks in Units 3 and 4.)\x0cRMIT Classification: Trusted VCE Maths Choice University Maths Specialist Maths Math Methods (CAS) General Maths No Maths BP094 CS X BP096 SE X BP340 Data Sc X BP162 IT X BP355 Cyber X Q: If I were to be transferred from IT to CS, will I get full credit for my first year in IT? A: No. you wont get full credit, you will get credit for the common courses between these two programs.']",1,sentence,5,0
W11,W11Q01,Will I receive full credit for my first year in the IT program if I transfer to the CS program?,"[' Q: I didnt do Math Methods in Year 12. Can I get into CS program somehow? A: YES! In the past, we only admitted students with Maths M ethods or Specialist mathematics. Now, we admit students with one of the VCE Maths courses (as long as you have minimum of 20 marks in Units 3 and 4.)\x0cRMIT Classification: Trusted VCE Maths Choice University Maths Specialist Maths Math Methods (CAS) General Maths No Maths BP094 CS X BP096 SE X BP340 Data Sc X BP162 IT X BP355 Cyber X Q: If I were to be transferred from IT to CS, will I get full credit for my first year in IT? A: No. you wont get full credit, you will get credit for the common courses between these two programs.']",1,sentence,5,0
W11,W11Q02,Can I expect my first year in the IT program to be recognized and credited when I switch to the CS program?,"[' Q: I didnt do Math Methods in Year 12. Can I get into CS program somehow? A: YES! In the past, we only admitted students with Maths M ethods or Specialist mathematics. Now, we admit students with one of the VCE Maths courses (as long as you have minimum of 20 marks in Units 3 and 4.)\x0cRMIT Classification: Trusted VCE Maths Choice University Maths Specialist Maths Math Methods (CAS) General Maths No Maths BP094 CS X BP096 SE X BP340 Data Sc X BP162 IT X BP355 Cyber X Q: If I were to be transferred from IT to CS, will I get full credit for my first year in IT? A: No. you wont get full credit, you will get credit for the common courses between these two programs.']",1,sentence,5,0
W11,W11Q03,Will my progress from the first year in the IT program be acknowledged when I transition to the CS program?,"[' Associat e degree in IT is a pathway to Bachelor of IT. It roughly covers first two years in the bachelors degree and then you can complete the remainder of the bachelors degree in one year. Under certain conditions, you can transition from Assoc Degree in IT to B achelor of CS, [SD3] but it will take longer to complete as you wont get as many credits as Assoc Deg --> IT pathway. https://pathways.rmit.']",1,sentence,5,0
W11,W11Q04,"If I were to be transferred from IT to CS, will I get full credit for my first year in IT?","[' Q: I didnt do Math Methods in Year 12. Can I get into CS program somehow? A: YES! In the past, we only admitted students with Maths M ethods or Specialist mathematics. Now, we admit students with one of the VCE Maths courses (as long as you have minimum of 20 marks in Units 3 and 4.)\x0cRMIT Classification: Trusted VCE Maths Choice University Maths Specialist Maths Math Methods (CAS) General Maths No Maths BP094 CS X BP096 SE X BP340 Data Sc X BP162 IT X BP355 Cyber X Q: If I were to be transferred from IT to CS, will I get full credit for my first year in IT? A: No. you wont get full credit, you will get credit for the common courses between these two programs.']",1,sentence,5,0
W12,W12Q01,Are program transfers relatively straightforward?,"['45 Professional Degrees Program Lowest Selection Rank BP347 CS - Prof 82.50 BP34 8 Data Sc - Prof 85.35 BP349 IT - Prof 82.55 BP35 6 Cyber Sec Prof 82.25 [SD4] There will be a very small intake into these programs (in addition to internal transfers), so it is expected that cut -off will be very high.']",1,sentence,5,0
W12,W12Q02,Is it a smooth process to switch between programs?,"[' [SD2]It is easy between some programs, and not as easy between some programs. For example, within first and second year, it is easy to transfer between SE and CS programs. Also, if you go from SE or CS to IT , it is easy to transfer. However, transfer from IT to CS, will require certain requirements and assessed on merit. If you are unsure, refer to the Program Manager of the TARGET PROGRAM.']",1,sentence,5,0
W12,W12Q03,Can I easily change my program of study if desired?,[' We have a pathway study plan for such students. Roughly speaking you can get credit for around 75% of the courses you do in first year IT. [SD1] This is a ba ll-park percentage. Each students situation can be different. Q: Can I transfer between programs easily? A: There is no direct answer.'],1,sentence,5,0
W12,W12Q04,Can I transfer between programs easily?,[' We have a pathway study plan for such students. Roughly speaking you can get credit for around 75% of the courses you do in first year IT. [SD1] This is a ba ll-park percentage. Each students situation can be different. Q: Can I transfer between programs easily? A: There is no direct answer.'],1,sentence,5,0
W13,W13Q01,What options are there for Work Integrated Learning experiences for RMIT CS students?,"[' Q: What level of Work Integrated Learning (call it capstone project, placement, industry training, or whatever they call i t) available to RMIT CS students? There is a multitude of WIL components available, some are part of the programs and mandatory and others are optional. SE students are required to do one -year industry placement and another 24CP project in their final yea r. Same for all three professional degrees. All other students are required by RMIT rules to do a capstone project in their final year. It involves with doing a project with an industry partner, or in some cases, an in -house project simulating a real indu stry scenario.']",1,sentence,5,0
W13,W13Q02,"Can you provide details about the available capstone projects, placements, and industry training for RMIT CS students?","[' Q: What level of Work Integrated Learning (call it capstone project, placement, industry training, or whatever they call i t) available to RMIT CS students? There is a multitude of WIL components available, some are part of the programs and mandatory and others are optional. SE students are required to do one -year industry placement and another 24CP project in their final yea r. Same for all three professional degrees. All other students are required by RMIT rules to do a capstone project in their final year. It involves with doing a project with an industry partner, or in some cases, an in -house project simulating a real indu stry scenario.']",1,sentence,5,0
W13,W13Q03,"What forms of Work Integrated Learning, such as capstone projects or industry placements, are accessible for RMIT CS students?","[' Q: What level of Work Integrated Learning (call it capstone project, placement, industry training, or whatever they call i t) available to RMIT CS students? There is a multitude of WIL components available, some are part of the programs and mandatory and others are optional. SE students are required to do one -year industry placement and another 24CP project in their final yea r. Same for all three professional degrees. All other students are required by RMIT rules to do a capstone project in their final year. It involves with doing a project with an industry partner, or in some cases, an in -house project simulating a real indu stry scenario.']",1,sentence,5,0
W13,W13Q04,"What level of Work Integrated Learning (call it capstone project, placement, industry training, or whatever they call it) available to RMIT CS students?","[' Q: What level of Work Integrated Learning (call it capstone project, placement, industry training, or whatever they call i t) available to RMIT CS students? There is a multitude of WIL components available, some are part of the programs and mandatory and others are optional. SE students are required to do one -year industry placement and another 24CP project in their final yea r. Same for all three professional degrees. All other students are required by RMIT rules to do a capstone project in their final year. It involves with doing a project with an industry partner, or in some cases, an in -house project simulating a real indu stry scenario.']",1,sentence,5,0
W14,W14Q01,Can I expect an automatic transfer of credits from an associate degree to a bachelor's degree?,"['edu.au/course/BP094GEN8 Q: Is the transfer from associate degree to bachelors automatic? A: No, it is not. You are required to apply when you are closer to the completion of the Associate Degree.\x0cRMIT Classification: Trusted Q: If I do not get the required ATAR to get into IT degree, is the Associate degree a suitable pathway? A: Absolutely. Associate degrees normally have lower ATAR and quite suitable pathway to achieve your intended graduation outcome via this.']",1,sentence,5,0
W14,W14Q02,Will my credits from an associate degree be automatically recognized when I pursue a bachelor's degree?,"['edu.au/course/BP094GEN8 Q: Is the transfer from associate degree to bachelors automatic? A: No, it is not. You are required to apply when you are closer to the completion of the Associate Degree.\x0cRMIT Classification: Trusted Q: If I do not get the required ATAR to get into IT degree, is the Associate degree a suitable pathway? A: Absolutely. Associate degrees normally have lower ATAR and quite suitable pathway to achieve your intended graduation outcome via this.']",1,sentence,5,0
W14,W14Q03,Is the transition from an associate degree to a bachelor's degree seamless?,"['edu.au/course/BP094GEN8 Q: Is the transfer from associate degree to bachelors automatic? A: No, it is not. You are required to apply when you are closer to the completion of the Associate Degree.\x0cRMIT Classification: Trusted Q: If I do not get the required ATAR to get into IT degree, is the Associate degree a suitable pathway? A: Absolutely. Associate degrees normally have lower ATAR and quite suitable pathway to achieve your intended graduation outcome via this.']",1,sentence,5,0
